Unnamed: 0,ligand_name,Minimum Energy,Smiles,IC50,pIC50
70,ligand_1542,-7.1,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cccc(NS(=O)(=O)c3ccccc3Cl)c2)c1,2353.0,5.6283780728239785
71,ligand_2349,-7.3,CN1CCC(c2ccc(-c3cc4ncn(C)c(=O)c4c(N[C@@H]4CCOC4)n3)cc2F)CC1,140.0,6.853871964321762
72,ligand_391,-5.6,Cc1cc(Nc2nccc(-c3ccccn3)n2)cc2cc(C(=O)N(C)C)[nH]c12,6.0,8.221848749616356
73,ligand_971,-7.0,Cc1cccc(Nc2nc(N[C@@H]3CCNC3)ncc2C(N)=O)c1,25.12,7.599980364934842
74,ligand_688,-7.0,CC(C)[C@H](CO)Nc1nc(-c2ccc(C(C)(C)O)nc2)cc2ncn(C)c(=O)c12,1413.0,5.849857838151442
75,ligand_2542,-6.6,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NCC3CCOCC3)c2c1=O,553.0,6.257274868695301
76,ligand_2826,-7.0,COc1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,140.0,6.853871964321762
77,ligand_2474,18.1,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(C3CCN(C(=O)c4ccc5cc[nH]c5c4)CC3)nc2)c1,61.0,7.214670164989233
78,ligand_3233,-8.0,,,
79,ligand_2483,4.3,CC(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)NC(=O)C5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,7.0,8.154901959985743
80,ligand_3758,-6.6,,,
81,ligand_1619,-7.0,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(NC[C@@H](O)c3ccccc3)c2c1=O,286.0,6.543633966870957
82,ligand_145,-9.0,NC(=O)c1cccnc1COc1cc(-c2ccc3c(c2)CCNC3=O)cc2ncccc12,7.7,8.113509274827518
83,ligand_3398,-8.1,,,
84,ligand_3090,-6.5,CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3nn(CCCS(C)(=O)=O)c4ccc(OC(F)F)cc34)nc12,3.0,8.522878745280337
85,ligand_1975,-7.4,Cn1cnc2cc(-c3ccc(C(C)(C)O)nc3)nc(N[C@@H]3CCOC3)c2c1=O,199.0,6.701146923590294
86,ligand_3940,-6.8,,,
87,ligand_3031,-6.8,CNC(=O)c1cc2cc(Nc3nccc(-c4cn(C)cn4)n3)cc(C)c2[nH]1,0.9,9.045757490560677
88,ligand_2870,-6.9,O=C(NCCN1CCOCC1)c1cc(NCc2cc(O)ccc2O)ccc1O,1500.0,5.823908740944319
89,ligand_2719,-6.6,Nc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(NC3CCNC3=O)nc2)c1,4.0,8.397940008672037
90,ligand_185,4.8,Cn1cnc(-c2ccnc(Nc3cc(Cl)c4[nH]c(C(=O)N5CCN(C(=O)C6CCCO6)CC5)cc4c3)n2)c1,2.0,8.698970004336019
91,ligand_23,-7.7,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,28000.0,4.552841968657781
92,ligand_1953,13.2,COCCn1cncc1COc1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCN(C)CC5)cc4c3)n2)c1,100.2,6.999132278468773
93,ligand_743,9.5,CN1CCC(N2CCN(C(=O)c3cc4cc(Nc5nccc(-c6ccccn6)n5)ccc4[nH]3)CC2)CC1,31.5,7.501689446210399
94,ligand_974,-6.9,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(Nc3nccs3)c2c1=O,387.0,6.412289034981089
95,ligand_709,-6.9,COCCNc1nc(-c2ccc(NC(C)=O)c(O)c2)cc2ncn(C)c(=O)c12,210.0,6.6777807052660805
96,ligand_2815,-6.6,COc1cccc(Nc2nc(NCCN)ncc2C(N)=O)c1,66.0,7.180456064458132
97,ligand_2832,-6.1,CCOC(=O)CCCn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2cc(OC)ccc21,204.0,6.690369832574102
98,ligand_3158,5.7,CC(C)Cn1cnc(-c2ccnc(Nc3cc(Cl)c4[nH]c(C(=O)N5CCN(C)CC5)cc4c3)n2)c1,2.4,8.619788758288394
99,ligand_3181,-7.6,,,
100,ligand_1465,-8.1,Cc1cc(Nc2nccc(C)n2)cc(-c2cccc(CCC(=O)O)c2)c1,52.7,7.278189384787454
101,ligand_2211,-7.0,COc1ccc(Nc2cc(N[C@@H]3CCOC[C@@H]3N)nnc2C(N)=O)nc1C(C)C,10.0,8.0
102,ligand_787,-8.3,C[C@@H](Oc1cc(-c2ccc(C3(N)CC3)c(Cl)c2)cc2ncccc12)[C@H]1CNC(=O)C1,0.2,9.69897000433602
103,ligand_958,-6.7,COCCCNc1ccc(-c2cc3ncn(C)c(=O)c3c(NC3CC3)n2)cn1,238.0,6.623423042943488
104,ligand_3646,-8.4,,,
105,ligand_2841,-7.1,c1ccc(COc2cccc(Nc3nccc(-c4nccs4)n3)c2)cc1,500.0,6.301029995663981
106,ligand_1950,-5.3,Cc1cc(Nc2nccc(-c3cc(C(C)(C)C#N)ccn3)n2)cc2cc(C(=O)N(C)C)[nH]c12,18.9,7.723538195826756
107,ligand_3904,-8.3,,,
108,ligand_3392,-7.3,,,
109,ligand_2637,-7.3,Cn1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(N[C@@H]3CCOC3)c2c1=O,51.0,7.292429823902063
110,ligand_3354,-8.5,,,
111,ligand_2898,-6.8,CN(C)CCN(C)c1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,10000.0,5.0
112,ligand_3642,-9.2,,,
113,ligand_84,-6.8,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2ccc(NC3CCN(C(=O)c4cc5ccccc5cn4)CC3)nc2)c1,4.0,8.397940008672037
114,ligand_1055,-7.5,COc1ccc(Nc2nc(-c3ccc4[nH]ccc4c3)cn3ccnc23)cc1OC,8.6,8.065501548756432
115,ligand_1375,-7.3,Cc1cc(C)nc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)c1,5.012,8.299988937677888
116,ligand_693,-4.6,Cn1cnc2cc(-c3ccc(C(C)(C)O)nc3)nc(N3CCc4c(cccc4C(=O)O)C3)c2c1=O,720.0,6.142667503568731
117,ligand_2588,-5.5,COc1cc(C)cc(OC)c1OCCN1CCOCC1,13.6,7.866461091629782
118,ligand_884,-6.3,NC(=O)c1nnc(N[C@@H]2CCOC[C@@H]2N)nc1Nc1csc2ccccc12,0.89,9.050609993355089
119,ligand_268,-1.4,CN1CCN(c2ccc(-c3cc4ncn(C)c(=O)c4c(N4C[C@H](CO)[C@@H](O)C4)n3)cc2)CC1,198.0,6.703334809738469
120,ligand_3620,-7.1,,,
121,ligand_354,-7.3,CCN1CCC(c2ccc(-c3cc4ncn(C)c(=O)c4c(N4CC[C@H](CO)C4)n3)cc2C)CC1,155.0,6.809668301829708
122,ligand_3258,-7.4,,,
123,ligand_885,-3.6,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(C(=O)C3CC3)cn4C)n2)cc1CN1CC(C)(O)CCO1,106.1,6.974284616098659
124,ligand_2152,-8.1,Cc1c[nH]c2c(Nc3nc(N[C@@H]4CCOC[C@@H]4N)cc4nc[nH]c(=O)c34)cccc12,1.0,9.0
125,ligand_545,6.0,CC(C)(C#N)c1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCOCC5)cc4c3)n2)c1,4.5,8.346787486224656
126,ligand_604,11.5,CC(Oc1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCN(C)CC5)cc4c3)n2)c1)C(F)(F)F,3.3,8.481486060122112
127,ligand_2021,-8.1,CC(=O)Nc1cccc(-c2cc(C)cc(Nc3nccc(C(F)(F)F)n3)c2)c1,212.1,6.673459331483438
128,ligand_575,-5.9,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,38000.0,4.42021640338319
129,ligand_2861,-6.7,c1ccc(COc2ccc(Nc3nccc(-c4nccs4)n3)cc2)cc1,1000.0,6.0
130,ligand_2278,-7.1,Cn1cnc2cc(-c3ccc(C4CCNCC4)cc3)nc(NCCO)c2c1=O,47.0,7.327902142064283
131,ligand_1681,-7.9,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cccc(S(=O)(=O)O)c2)c1,8.5,8.070581074285707
132,ligand_1804,-8.3,C[C@@H](Oc1cc(-c2ccccc2)cc2ncccc12)[C@H]1CNC(=O)C1,0.4,9.397940008672036
133,ligand_2903,-6.7,Oc1cc(O)cc(/C=C/c2ccc(O)c(O)c2)c1,38000.0,4.42021640338319
134,ligand_1853,5.4,CN1CCN(C(=O)c2cc3cc(Nc4nccc(-c5cc(OC6CCOCC6)ccn5)n4)ccc3[nH]2)CC1,8.3,8.080921907623926
135,ligand_561,-6.1,OC1CN(c2ccc(Nc3nc(-c4ccc5cn[nH]c5c4)cn4ccnc34)cc2)C1,11.3,7.94692155651658
136,ligand_1210,-7.0,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1cn(C)c3ccc(OC)cc13)C(=O)N2,20.0,7.698970004336019
137,ligand_348,-7.1,C[C@@H](Oc1nc(C2CC2)cc2ncccc12)[C@H]1CNC(=O)C1,1900.0,5.721246399047171
138,ligand_1778,-7.6,CC(=O)c1ccc(-c2cccc(Nc3nccc(C(F)(F)F)n3)c2)cc1,547.1,6.261933285222531
139,ligand_200,-7.1,COc1cc(-c2cc(OC[C@H]3CNC(=O)O3)c3cccnc3c2)cc(OC)c1OC,6.0,8.221848749616356
140,ligand_964,14.5,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5c(c4)CCC5)n3)c3ccccc23)n(-c2ccc(OCCN3CCOCC3)cc2)n1,28.0,7.552841968657781
141,ligand_3066,-7.5,Cc1cc(Nc2nccc(C)n2)cc(-c2cnc(C(C)(O)C3CCC(C(=O)O)CC3)s2)c1,1.0,9.0
142,ligand_3147,-8.5,Cc1cc(Nc2nccc(C)n2)cc(-c2cnc([C@@]3(O)CC[C@H](C(=O)O)C(C)(C)C3)s2)c1,1.0,9.0
143,ligand_1385,-8.2,Cc1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCN(C)CC5)cc4c3)n2)c1,15.2,7.818156412055227
144,ligand_2319,-6.9,COCCNc1nc(-c2ccc(N3CCC[C@@H]3CO)c(S(C)(=O)=O)c2)cc2ncn(C)c(=O)c12,109.0,6.962573502059376
145,ligand_2945,7.5,COc1ccc(Nc2nc(-c3cccc(C(=O)Nc4ccc(C(=O)O)cc4)c3)nc3scnc23)cc1OC,7.0,8.154901959985743
146,ligand_3957,-8.2,,,
147,ligand_2419,2.1,COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc(Nc4ccc5[nH]ncc5c4)n3)c3ccccc23)cc1,24.0,7.619788758288394
148,ligand_2893,-8.0,CN(C)c1ccc(-c2cc3ncccc3c(NCC3CCCCC3)n2)cc1,5900.0,5.229147988357856
149,ligand_569,-7.2,COc1ccc(Nc2nc(-c3ccc4c(c3)OCC(=O)N4)cn3ccnc23)cc1OC,33.4,7.476253533188435
150,ligand_2846,-7.3,c1cncc(Oc2cccc(Nc3nccc(-c4nccs4)n3)c2)c1,500.0,6.301029995663981
151,ligand_2170,-8.6,Cc1cc(Nc2nccc(C(F)(F)F)n2)cc(-c2cccc(NS(=O)(=O)c3cccc4ccccc34)c2)c1,5973.0,5.223807485252928
152,ligand_630,-6.3,CN(CCC1CCOCC1)C(=O)c1cc2cc(Nc3nccc(-c4ccccn4)n3)ccc2[nH]1,33.9,7.469800301796917
153,ligand_3055,-8.3,CC(C)(C)NC(=O)c1c[nH]c2ncc(-c3n[nH]c4c(CO)cccc34)nc12,3.0,8.522878745280337
154,ligand_3786,-8.0,,,
155,ligand_2957,-7.8,NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)nc1-c1cc2ccccc2[nH]1,0.5,9.30102999566398
156,ligand_2466,0.7,COc1cccc(C(=O)N2CCC(Nc3ccc(-c4cc(C)cc(Nc5cc(C(F)(F)F)ccn5)n4)cn3)CC2)c1,6.0,8.221848749616356
157,ligand_318,-7.2,Cn1cnc2cc(-c3ccc(C(C)(C)N)cc3)nc(NC3CC3)c2c1=O,128.0,6.892790030352131
158,ligand_3532,-5.9,,,
159,ligand_1701,-5.6,C[C@@H]1C[C@@](O)(c2ncc(-c3cc(Nc4nccc(C(F)(F)F)n4)cc(-c4cn[nH]c4)c3)s2)CC[C@@H]1C(N)=O,2.946,8.530767257493387
160,ligand_1675,-6.7,CCc1cccc(Nc2nc(NCCN)ncc2C(N)=O)c1,53.0,7.275724130399211
161,ligand_2264,-7.3,Cn1cnc2cc(-c3ccc(C(C)(C)O)cc3)nc(N)c2c1=O,864.0,6.063486257521107
162,ligand_3361,-8.7,,,
163,ligand_1523,6.2,COCC(=O)Nc1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc(C)cc3)c3ccccc23)ccn1,42.0,7.376750709602099
164,ligand_2886,-7.4,COc1ccc(CNS(=O)(=O)c2ccc3c(c2)/C(=C/c2cn(C)c4ccc(OC)cc24)C(=O)N3)cc1,4000.0,5.3979400086720375
165,ligand_465,-6.9,COC[C@@H]1C[C@@H](O)CN1Cc1cn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)nc1C,6.6,8.18045606445813
166,ligand_339,-6.7,COCC[C@@H](Oc1nc(-c2cc(OC)c(OC)c(OC)c2)cc2ncccc12)[C@H]1CNC(=O)C1,12.4,7.906578314837765
167,ligand_2522,-5.8,CCN1CCN(c2ccc(-c3cc4ncn(C)c(=O)c4c(NCCCO)n3)cc2)CC1,50.0,7.301029995663981
168,ligand_134,-6.3,CC(C)(C)C1CCN(c2cccc(Nc3cc(-c4cccc(C(=O)O)c4)nn4ccnc34)n2)C1,695.95,6.157421960826385
169,ligand_1264,-7.1,CC(C)Nc1nc(-c2ccc(C(C)(C)N)nc2)cc2ncn(C)c(=O)c12,387.0,6.412289034981089
170,ligand_2858,-7.7,CN(C)c1ccc(-c2cc3ncccc3c(NCc3ccccc3N)n2)cc1,850.0,6.070581074285707
171,ligand_2232,-8.7,C[C@@H](Oc1cc(-c2ccc3c(c2)COC(=O)N3)cc2ncccc12)[C@H]1CNC(=O)C1,0.1,10.0
172,ligand_18,-6.4,COc1cc(Nc2nc(NC3CCCC[C@H]3N)n3nc(-c4cccc(O)c4)nc3c2C(N)=O)cc(OC)c1,7.0,8.154901959985743
173,ligand_1524,-7.4,COc1ccc(-c2cc3ncn(C)c(=O)c3c(NC3CC3)n2)cc1S(=O)(=O)N1CCOCC1,337.0,6.4723700991286615
174,ligand_1401,9.3,CN1CCN(C(=O)c2cc3cc(Nc4nccc(-c5cc(OCC6CC(C)(C)C(=O)N6)ccn5)n4)ccc3[nH]2)CC1,51.1,7.291579099865287
175,ligand_2146,-7.1,Cc1n[nH]c2cc(Nc3nc(NCC(F)(F)F)c4occc4n3)ccc12,47.0,7.327902142064283
176,ligand_58,-7.1,C[C@@H](Oc1cc(-c2cnn(C(F)F)c2)cc2nscc12)[C@H]1CNC(=O)C1,57.0,7.244125144327507
177,ligand_1191,-6.4,CNC(=O)c1cc2cc(Nc3nccc(-c4cn(C)cn4)n3)cc(OC)c2[nH]1,7.1,8.148741651280925
178,ligand_2714,-8.2,COc1cccc(Nc2nc(-c3ccc4cn[nH]c4c3)cn3ccnc23)c1,8.5,8.070581074285707
179,ligand_506,-6.4,CNC(=O)c1cc2cc(Nc3nccc(-c4cn(C)cn4)n3)cc(Cl)c2[nH]1,1.4,8.853871964321762
180,ligand_3746,-6.7,,,
181,ligand_1929,-6.6,CC[C@H](N)CNc1nnc(C(N)=O)c(Nc2cccc3sccc23)n1,0.35,9.455931955649724
182,ligand_1092,14.8,COc1ccnc(-c2ccnc(Nc3ccc4[nH]c(C(=O)N5CCN(C(=O)[C@@H]6CCCO6)CC5)cc4c3)n2)c1,5.8,8.236572006437063
183,ligand_915,-6.8,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCCN)n2)cc1,210.0,6.6777807052660805
184,ligand_1477,-7.5,Fc1cnc(Nc2ccc3cn[nH]c3c2)nc1Nc1ccc2c(c1)OCCO2,46.5,7.332547047110046
185,ligand_2362,9.3,CN1CCN(C(=O)c2cc3cc(Nc4nccc(-c5cc(OCC(CO)c6ccccc6)ccn5)n4)ccc3[nH]2)CC1,110.7,6.955852379121277
